Qex_time,Qex_flow
6125.0,0.000923
6130.0,0.000963
6135.0,0.000842
6140.0,0.000923
6145.0,0.000903
6150.0,0.000863
6155.0,0.000888
6160.0,0.000854
6165.0,0.000757
6170.0,0.000882
6175.0,0.000897
6180.0,0.000837
6185.0,0.000889
6190.0,0.000866
6195.0,0.0007840000000000001
6200.0,0.000897
6205.0,0.0008500000000000001
6210.0,0.000819
6215.0,0.000889
6220.0,0.000858
6225.0,0.000801
6230.0,0.000847
6235.0,0.000841
6240.0,0.000797
6245.0,0.00081
6250.0,0.000856
6255.0,0.000764
6260.0,0.000845
6265.0,0.000831
6270.0,0.000791
6275.0,0.0008169999999999999
6280.0,0.000807
6285.0,0.000732
6290.0,0.0008389999999999999
6295.0,0.00075
6300.0,0.000758
6305.0,0.000798
6310.0,0.000857
6315.0,0.000746
6320.0,0.000838
6325.0,0.000818
6330.0,0.000716
6335.0,0.000803
6340.0,0.000838
6345.0,0.0007509999999999999
6350.0,0.000846
6355.0,0.000793
6360.0,0.000705
6365.0,0.000767
6370.0,0.000807
6375.0,0.000733
6380.0,0.000794
6385.0,0.0007620000000000001
6390.0,0.000689
6395.0,0.000728
6400.0,0.000824
6405.0,0.000683
6410.0,0.000765
6415.0,0.000811
6420.0,0.000732
6425.0,0.000742
6430.0,0.000758
6435.0,0.000723
6440.0,0.000796
6445.0,0.000778
6450.0,0.000717
6455.0,0.000746
6460.0,0.000796
6465.0,0.000671
6470.0,0.00076
6475.0,0.0007949999999999999
6480.0,0.000635
6485.0,0.000641
6490.0,0.0007299999999999999
6495.0,0.000651
6500.0,0.00065
6505.0,0.000723
6510.0,0.000661
6515.0,0.000617
6520.0,0.000714
6525.0,0.000614
6530.0,0.00067
6535.0,0.000641
6540.0,0.000742
6545.0,0.000636
6550.0,0.000653
6555.0,0.000596
6560.0,0.000621
6565.0,0.000679
6570.0,0.000526
6575.0,0.00061
6580.0,0.000638
6585.0,0.000544
6590.0,0.000621
6595.0,0.00065
6600.0,0.000579
6605.0,0.0006080000000000001
6610.0,0.0005
6615.0,0.000533
6620.0,0.000616
6625.0,0.000533
6630.0,0.000517
6635.0,0.000591
6640.0,0.000536
6645.0,0.000534
6650.0,0.000561
6655.0,0.00048499999999999997
6660.0,0.000498
6665.0,0.00055
6670.0,0.000448
6675.0,0.000559
6680.0,0.000519
6685.0,0.000456
6690.0,0.000502
6695.0,0.000499
6700.0,0.000419
6705.0,0.000497
6710.0,0.000503
6715.0,0.000412
6720.0,0.000447
6725.0,0.000465
6730.0,0.000442
6735.0,0.000436
6740.0,0.000449
6745.0,0.000441
6750.0,0.000391
6755.0,0.000426
6760.0,0.000361
6765.0,0.000438
6770.0,0.000418
6775.0,0.000396
6780.0,0.000396
6785.0,0.000441
6790.0,0.000423
6795.0,0.000402
6800.0,0.000423
6805.0,0.00046
6810.0,0.000412
6815.0,0.00039
6820.0,0.000487
6825.0,0.000423
6830.0,0.000371
6835.0,0.000455
6840.0,0.000405
6845.0,0.000385
6850.0,0.000449
6855.0,0.00038100000000000005
6860.0,0.00034800000000000006
6865.0,0.000433
6870.0,0.00039200000000000004
6875.0,0.000323
6880.0,0.000338
6885.0,0.000342
6890.0,0.000341
6895.0,0.000418
6900.0,0.000349
6905.0,0.00034800000000000006
6910.0,0.000397
6915.0,0.000372
6920.0,0.000316
6925.0,0.0003869999999999999
6930.0,0.00034299999999999993
6935.0,0.000362
6940.0,0.00038100000000000005
6945.0,0.000366
6950.0,0.000333
6955.0,0.000384
6960.0,0.000342
6965.0,0.000306
6970.0,0.00038
6975.0,0.00036
6980.0,0.000292
6985.0,0.00038
