,0
522,3.53356890459364e-09
523,3.53356890459364e-09
524,3.53356890459364e-09
525,9.629976345259343e-09
526,9.629976345259343e-09
527,9.629976345259343e-09
528,1.808445688557899e-08
529,3.53356890459364e-09
530,1.808445688557899e-08
531,4.7995794773024035e-08
532,4.7995794773024035e-08
533,1.9473257372296402e-08
534,3.53356890459364e-09
535,3.53356890459364e-09
536,3.53356890459364e-09
537,7.132714719177345e-09
538,9.596739149080197e-09
539,3.38551987521783e-08
540,3.38551987521783e-08
541,3.53356890459364e-09
542,5.759717314487635e-09
543,3.53356890459364e-09
544,3.53356890459364e-09
545,3.53356890459364e-09
546,1.6261703689286052e-08
547,2.890948597830436e-05
548,3.3802815418925645e-05
549,3.3802815418925645e-05
550,7.272434365080759e-05
551,0.00019933218092556534
552,0.00031799329845316943
553,0.00038913716746837506
554,0.003282848740642432
555,0.004404257821292404
556,0.004853947786000398
557,0.005072324905932897
558,0.00520411798169202
559,0.005238025291955619
560,0.005358341073231766
561,0.005338082624083777
562,0.005397699600962974
563,0.005428717729595658
564,0.005457820872614173
565,0.005485876618337192
566,0.00550804658916431
567,0.005534581754363045
568,0.00560173782289635
569,0.00575771524498077
570,0.00575771524498077
571,0.005670850819329773
572,0.005655922465016984
573,0.005565499113380136
574,0.005555234531344663
575,0.00540193896500676
576,0.005403784949388165
577,0.005466507486708643
578,0.005390352783664371
579,0.005442465765349437
580,0.005354850234844037
581,0.005334017255887098
582,0.005341914189169938
583,0.005263099929554543
584,0.00529054803364575
585,0.005255064157768076
586,0.005252460932703768
587,0.005252460932703768
588,0.005220146789568375
589,0.005235984508669028
590,0.005220146789568375
591,0.005189648467193748
592,0.005159353054690056
593,0.005160891643721374
594,0.005160891643721374
595,0.005217847345476499
596,0.005483993743941999
597,0.005590383726846586
598,0.005731132558420498
599,0.005849199763988387
600,0.005935290730862456
601,0.005964268677110034
602,0.006271802482075036
603,0.006367593045864715
604,0.006709881292743592
605,0.007203424058042542
606,0.00731137549302592
607,0.007460364344189294
608,0.007731265768555683
609,0.007753251243676998
610,0.008188793887471731
611,0.008123077764128931
612,0.008327062292574976
613,0.008644904089317734
614,0.008706611713126443
615,0.008755292025805956
616,0.008924451786008352
617,0.008977893128660864
618,0.009097814965256846
619,0.009156944178107801
620,0.009342307787978763
621,0.009430553341589312
622,0.009486754977347347
623,0.009563264959277631
624,0.009655701448832588
625,0.00977420186144052
626,0.00994445670376343
627,0.010021497535720764
628,0.010283271622652933
629,0.01039666660315681
630,0.010577117862777959
631,0.010862540890489117
632,0.010927515164401286
633,0.011288729661725722
634,0.011362721347473907
635,0.01152317358517366
636,0.011582461268674469
637,0.011793346620500446
638,0.01173121660871983
639,0.011762021693217953
640,0.011729051910073323
641,0.011761765298842217
642,0.011690633505892101
643,0.011687624622094446
644,0.011611396803082515
645,0.011516716295992572
646,0.011390046316169465
647,0.011331519301058308
648,0.01131667174375332
649,0.011040472179777988
650,0.010939738078040287
651,0.010845645958279193
652,0.010782968786659703
653,0.010743275638384812
654,0.010518781858322961
655,0.010471844328328499
656,0.010557357629624538
657,0.010176947204938822
658,0.010032570962913021
659,0.009761079015613046
660,0.009512755780691901
661,0.009500231701719276
662,0.009396937856328036
663,0.009293584269310333
664,0.009153266337460437
665,0.009031749345237646
666,0.009139051580265513
667,0.008787923556676897
668,0.008769630613703849
669,0.00872067643769934
670,0.008717261038213579
671,0.008504151871930848
672,0.008500780478345658
673,0.008382782140961081
674,0.008247165304833538
675,0.008219653808051623
676,0.008043623857842597
677,0.007869541876706005
678,0.007838761410872511
679,0.0076443134012602765
680,0.007572022276243776
681,0.0076116970165360995
682,0.007823300468216127
683,0.007847079909538581
684,0.007647790774142367
685,0.007350088494077346
686,0.007284841703297991
687,0.007231029476030284
688,0.007241017577365972
689,0.007264410153083375
690,0.007266845791594155
691,0.007317541820245126
692,0.0068481267475302
693,0.00685948536273813
694,0.006784709037823941
695,0.0065513633174994835
696,0.006571245447137062
697,0.006564101755589796
698,0.0063688516354888924
699,0.0063688516354888924
700,0.006560252943425256
701,0.006560252943425256
702,0.006432805467252075
703,0.006224828256341586
704,0.00614349199387954
705,0.006092613716556042
706,0.006093201440897586
707,0.00603326899368926
708,0.00602739728808457
709,0.005984890279933023
710,0.006061779230990649
711,0.005498607598694977
712,0.005515683054189289
713,0.005523650395299583
714,0.005607041243248332
715,0.005353217215477798
716,0.005353217215477798
717,0.005249200453259605
718,0.005255004986106534
719,0.0051546728171702845
720,0.0051546728171702845
721,0.005086581524375873
722,0.005064678948343549
723,0.0052148706437067
724,0.005278789329040664
725,0.0054291215159052745
726,0.005277799669206473
727,0.005293798317757632
728,0.005221562094204266
729,0.005458902109456838
730,0.005542089222592521
731,0.005542089222592521
732,0.005272023711795461
733,0.005272023711795461
734,0.005043740907117729
735,0.005226425801454292
736,0.005211214273767763
737,0.005306013277517001
738,0.005321784927165916
739,0.005306013277517001
740,0.005336686171717065
741,0.005143556058626551
742,0.004962109071321602
743,0.004966532179937661
744,0.004830077238000559
745,0.004873217450338361
746,0.004741514483997066
747,0.004741514483997066
748,0.004927319615565939
749,0.0050488255315365846
750,0.005594342839096245
751,0.005571945420695712
752,0.005731203297043537
753,0.0058053966083904795
754,0.0058929740405360065
755,0.006484460060203736
756,0.006683931084102657
757,0.007353884178891227
758,0.008042512655358007
759,0.008467927775048532
760,0.00857066114338739
761,0.008558070982122173
762,0.008366981714476123
763,0.00831962167792911
764,0.00856938152480087
765,0.00921980212401044
766,0.010362749969557947
767,0.01811494827910749
768,0.03005837438534803
769,0.04005499545700172
770,0.042015183872386154
771,0.04893591799090055
772,0.051347258619275075
773,0.051672490692602116
774,0.05776860703035774
775,0.0581293164625927
776,0.068973462871926
777,0.07124345120408462
778,0.07806804201014655
779,0.08581617448896531
780,0.08508726193700239
